label,handedness,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
A,Right,0.32758427,0.80975568,-0.00000145,0.55538130,0.77764690,-0.12190008,0.76276791,0.55407685,-0.13741630,0.81306124,0.31782582,-0.13071984,0.81640136,0.15651023,-0.09595429,0.64614838,0.31088132,-0.04446660,0.67591387,0.20753086,-0.13480666,0.63681763,0.40191957,-0.16411527,0.60799599,0.42047024,-0.17346795,0.48446819,0.28675669,-0.01112141,0.51384002,0.18908314,-0.10443917,0.50166011,0.42273432,-0.10499803,0.48753005,0.40940136,-0.08272490,0.33328062,0.29086682,-0.00128926,0.35388100,0.20616300,-0.11213099,0.36710438,0.42039940,-0.07065202,0.35937583,0.41364762,-0.01691532,0.18132982,0.30452573,0.00021270,0.21633282,0.25028458,-0.06518975,0.23938999,0.40015319,-0.02991436,0.22838476,0.40908980,0.01381628
A,Right,0.69895279,0.82008755,-0.00000199,0.46137816,0.74245119,-0.11675592,0.26332843,0.51748240,-0.14365971,0.19740954,0.28779474,-0.15402567,0.25564957,0.15368770,-0.12940617,0.37591192,0.31316108,-0.05410535,0.39467007,0.19288148,-0.13768238,0.42897469,0.39263609,-0.14379193,0.41341740,0.42409939,-0.13954958,0.50647408,0.29706797,-0.02512474,0.53843474,0.19965883,-0.11871417,0.55479193,0.44623289,-0.11115767,0.51729476,0.43232143,-0.08630375,0.65341192,0.30430198,-0.01760637,0.67661613,0.20143560,-0.13364846,0.68239111,0.42651281,-0.08292565,0.63676518,0.44424221,-0.02276166,0.78898346,0.31517342,-0.01855261,0.82181573,0.23421329,-0.09608804,0.80939889,0.38466811,-0.06688364,0.76989722,0.41432285,-0.02746148
A,Right,0.65781176,0.81239241,-0.00000220,0.46458051,0.76712841,-0.09898860,0.27725405,0.52183491,-0.11103816,0.20871639,0.29234302,-0.11644996,0.25576848,0.14442477,-0.09226184,0.36814329,0.33607802,0.01489277,0.37636083,0.20129144,-0.08049017,0.40859330,0.37781179,-0.10226087,0.40556672,0.41478315,-0.10439337,0.50304103,0.31560364,0.02523918,0.51816159,0.21002799,-0.07989060,0.53246534,0.43417239,-0.07584030,0.50572568,0.42919615,-0.04323486,0.64113504,0.31796175,0.00721073,0.66533810,0.23251721,-0.11047857,0.66667688,0.43105951,-0.06034049,0.64299369,0.43577754,0.00401618,0.78758037,0.33505249,-0.02098447,0.80518633,0.25255513,-0.08810509,0.79260683,0.39780423,-0.05137868,0.76636684,0.42966324,-0.00584955
A,Right,0.68388283,0.78829968,-0.00000212,0.45573980,0.78746623,-0.11080579,0.24695034,0.56262100,-0.12912428,0.18265072,0.32873774,-0.13467097,0.19768649,0.16955258,-0.10998148,0.34938583,0.35101551,-0.01406800,0.35343251,0.21025135,-0.12256072,0.37734896,0.38911924,-0.15758455,0.37654719,0.43049213,-0.16852632,0.50074488,0.31723738,0.00171584,0.49583465,0.19257918,-0.10976698,0.50228935,0.42219123,-0.10936736,0.50037807,0.41028672,-0.07809827,0.65151584,0.30853632,-0.01055131,0.64708883,0.21477811,-0.12735346,0.63999939,0.42373201,-0.06979290,0.64300811,0.41260058,-0.00065806,0.80864811,0.31096429,-0.03437610,0.78915375,0.24882852,-0.09468142,0.77665794,0.39271742,-0.05114045,0.78221691,0.39768720,-0.00175980
A,Right,0.68225116,0.77423239,-0.00000220,0.45338652,0.76545143,-0.08055416,0.24839585,0.55226994,-0.08942542,0.18146446,0.32964343,-0.09610685,0.18711698,0.17562698,-0.07589062,0.36654568,0.35042235,0.02220057,0.33146831,0.20968798,-0.09075678,0.36509070,0.38444188,-0.12942624,0.38588208,0.44794938,-0.13627376,0.50660169,0.31187460,0.02022067,0.47032860,0.17608038,-0.08595020,0.49299645,0.39598516,-0.08298698,0.50613952,0.40024966,-0.04846408,0.64962810,0.30502310,-0.00960341,0.61842710,0.17514384,-0.12500903,0.62372667,0.37991065,-0.06311913,0.63849163,0.39525560,0.01191358,0.80939424,0.31045687,-0.04905650,0.77166796,0.21705243,-0.11121918,0.75909805,0.36115351,-0.06170027,0.76569694,0.39434126,-0.00477974
A,Right,0.33146349,0.79821354,-0.00000114,0.54754913,0.76423633,-0.10044959,0.75675023,0.54065126,-0.10835155,0.81031948,0.31253260,-0.09726962,0.80149710,0.15782022,-0.06168882,0.63580346,0.31639269,-0.05466120,0.67911941,0.19345778,-0.13206245,0.63578546,0.39314744,-0.14888886,0.60683268,0.43511611,-0.14912672,0.48160267,0.28596988,-0.03170560,0.53504390,0.16670612,-0.11537775,0.51136625,0.39774057,-0.11706476,0.48575190,0.40966272,-0.09774083,0.33677560,0.29048645,-0.02549324,0.38168693,0.17383911,-0.12514137,0.38493469,0.39220616,-0.08271880,0.36179483,0.40762267,-0.03060402,0.18829924,0.30065873,-0.02485912,0.23844483,0.22735716,-0.08417087,0.25653118,0.37399733,-0.04457045,0.23595855,0.39482999,0.00002432
A,Right,0.68811333,0.79748207,-0.00000241,0.45637059,0.77030838,-0.07050922,0.25409678,0.55024952,-0.07708955,0.18110314,0.32668072,-0.08482266,0.20507441,0.16679604,-0.06657824,0.36502135,0.34469271,0.04522713,0.32227129,0.20461878,-0.06031024,0.36099714,0.38587385,-0.10082272,0.39226195,0.44651794,-0.11091716,0.50700462,0.30681232,0.03991638,0.46170640,0.17334288,-0.05943844,0.48934692,0.39867449,-0.05695136,0.51197815,0.41489726,-0.02245160,0.65366584,0.29866925,0.00699312,0.60825270,0.17987010,-0.09901898,0.61990672,0.39151120,-0.03518063,0.64565390,0.41087925,0.04119784,0.81713045,0.30869132,-0.03506298,0.76212955,0.21531770,-0.08414193,0.74615848,0.36487553,-0.02820732,0.76176924,0.40353814,0.03205304
A,Right,0.66167593,0.81574214,-0.00000204,0.44102311,0.76663285,-0.07506140,0.27174237,0.54451746,-0.09305767,0.21598271,0.33095169,-0.11176190,0.20167381,0.17219350,-0.11022846,0.36449349,0.34316361,0.02042676,0.34072065,0.19009097,-0.08441985,0.36470020,0.35957840,-0.13123156,0.39000362,0.44537792,-0.14493948,0.50068235,0.32173049,0.01309381,0.47092175,0.15113783,-0.09493338,0.47959429,0.35881656,-0.10835835,0.50051969,0.42529017,-0.08529869,0.63955772,0.33344886,-0.01813464,0.62019247,0.16539918,-0.13072221,0.60391313,0.36445269,-0.08869951,0.61623371,0.44708097,-0.02539750,0.79566741,0.35973346,-0.05707193,0.75470847,0.22957915,-0.11765902,0.72494692,0.36180088,-0.07753439,0.72717917,0.43290627,-0.02699951
A,Right,0.70425564,0.81101567,-0.00000185,0.47436163,0.76850450,-0.13237561,0.27580246,0.53668761,-0.16124502,0.19814774,0.30230850,-0.17164534,0.24572191,0.15659115,-0.14760847,0.35871297,0.32339332,-0.04683952,0.39760110,0.18621790,-0.13010563,0.43698484,0.37870908,-0.13273206,0.41333216,0.42390600,-0.12396760,0.48883271,0.29566866,-0.01391543,0.54061234,0.18738882,-0.11883824,0.57001328,0.42333543,-0.11411051,0.52150440,0.42499664,-0.08386095,0.62932301,0.29203096,-0.00545698,0.67210877,0.20435737,-0.12678941,0.68838573,0.41727298,-0.08130222,0.63376230,0.43507665,-0.02154111,0.76408231,0.29723147,-0.00714234,0.80410635,0.23563078,-0.08242575,0.80202430,0.38515168,-0.05603633,0.75927705,0.41391510,-0.01873845
A,Right,0.30685288,0.79483682,-0.00000153,0.49925411,0.75714517,-0.13729775,0.71059436,0.55480140,-0.17128085,0.79179931,0.32163227,-0.18491641,0.75026166,0.15600321,-0.16963899,0.65328652,0.31139439,-0.04928166,0.59505373,0.19449693,-0.16439652,0.56519091,0.37644976,-0.20883356,0.58974773,0.42143139,-0.21925826,0.50893080,0.27922919,-0.00983516,0.43738279,0.19274293,-0.12383629,0.43003854,0.40931144,-0.12004812,0.47927287,0.41514394,-0.08516404,0.37000385,0.27039579,0.00020004,0.30413848,0.20653722,-0.11705650,0.30510899,0.40398532,-0.06486205,0.36148351,0.41539788,0.00309767,0.23396781,0.27034369,-0.00322881,0.20003042,0.23757830,-0.06420937,0.20458215,0.37975761,-0.02833824,0.24445395,0.40359554,0.02078178
