label,handedness,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
A,Left,0.32758424,0.80975580,-0.00000145,0.55538130,0.77764690,-0.12190008,0.76276797,0.55407679,-0.13741629,0.81306124,0.31782585,-0.13071984,0.81640136,0.15651028,-0.09595429,0.64614832,0.31088129,-0.04446660,0.67591387,0.20753086,-0.13480665,0.63681763,0.40191966,-0.16411527,0.60799599,0.42047024,-0.17346790,0.48446816,0.28675672,-0.01112141,0.51383996,0.18908313,-0.10443918,0.50166011,0.42273432,-0.10499803,0.48753008,0.40940136,-0.08272490,0.33328059,0.29086679,-0.00128927,0.35388100,0.20616297,-0.11213099,0.36710438,0.42039940,-0.07065202,0.35937583,0.41364756,-0.01691532,0.18132982,0.30452573,0.00021270,0.21633282,0.25028458,-0.06518975,0.23938999,0.40015319,-0.02991437,0.22838476,0.40908980,0.01381627
A,Right,0.69564593,0.81649774,-0.00000228,0.45171392,0.77825022,-0.11023325,0.24357262,0.55721360,-0.13864549,0.16600281,0.33236650,-0.15895575,0.19990018,0.17534105,-0.14788698,0.35497862,0.31334302,0.00538033,0.33753917,0.20094620,-0.09780920,0.37058645,0.39190188,-0.13358049,0.39009440,0.43901479,-0.14802067,0.50419056,0.27734503,0.01713116,0.48077780,0.18437575,-0.09012694,0.49631491,0.42129436,-0.08924474,0.50785691,0.41992518,-0.06123771,0.66000432,0.27386150,-0.00096305,0.63589585,0.21032856,-0.11382107,0.62814093,0.42617586,-0.05828349,0.64034498,0.42182091,0.00625713,0.82007861,0.29160246,-0.03145386,0.77857089,0.25620779,-0.08788313,0.75807953,0.40339640,-0.04864231,0.77544141,0.40428540,-0.00509951
A,Right,0.68388271,0.78829974,-0.00000212,0.45573977,0.78746611,-0.11080579,0.24695034,0.56262100,-0.12912427,0.18265072,0.32873777,-0.13467097,0.19768649,0.16955258,-0.10998148,0.34938583,0.35101551,-0.01406801,0.35343251,0.21025135,-0.12256073,0.37734902,0.38911930,-0.15758455,0.37654722,0.43049213,-0.16852632,0.50074488,0.31723732,0.00171584,0.49583459,0.19257921,-0.10976697,0.50228935,0.42219129,-0.10936736,0.50037813,0.41028678,-0.07809829,0.65151584,0.30853632,-0.01055132,0.64708883,0.21477811,-0.12735346,0.63999939,0.42373201,-0.06979292,0.64300811,0.41260058,-0.00065807,0.80864811,0.31096429,-0.03437611,0.78915375,0.24882852,-0.09468140,0.77665794,0.39271742,-0.05114045,0.78221691,0.39768720,-0.00175980
A,Right,0.68805552,0.80853444,-0.00000234,0.46312594,0.77803671,-0.09682596,0.24930142,0.55939502,-0.11142412,0.18075874,0.32639781,-0.12076885,0.21613248,0.16780506,-0.10077626,0.36398825,0.33944991,0.02941532,0.34312660,0.21737452,-0.07204396,0.37987471,0.39784452,-0.10936332,0.39404923,0.42779043,-0.12415963,0.51116568,0.30357361,0.03413479,0.48561987,0.19432294,-0.07366458,0.50515962,0.42240995,-0.07647506,0.51636928,0.41051093,-0.04759043,0.65926546,0.29864633,0.00918658,0.63968939,0.21646826,-0.10724847,0.63769066,0.42561340,-0.05377405,0.64978689,0.41562665,0.01377331,0.81882238,0.30919245,-0.02670766,0.78508282,0.25101691,-0.08359551,0.76439261,0.39572313,-0.03907757,0.77247083,0.40568262,0.01102163
A,Right,0.68811369,0.79807997,-0.00000222,0.45580906,0.78365284,-0.09085317,0.24850497,0.56026983,-0.10061560,0.18454641,0.32476443,-0.10473160,0.20640549,0.16682382,-0.07973303,0.35605881,0.35538658,0.02241634,0.34519386,0.21267232,-0.08247051,0.37841371,0.39283270,-0.11694821,0.38785630,0.43573380,-0.12587954,0.50540978,0.32040429,0.02817387,0.48862520,0.19207278,-0.07758348,0.50376576,0.42023039,-0.07673415,0.50762719,0.40902793,-0.04431147,0.65370500,0.31296164,0.00531236,0.64218861,0.21273623,-0.10966779,0.64144933,0.42134932,-0.05430015,0.64924264,0.41419604,0.01518592,0.81139171,0.31627941,-0.02771632,0.78909546,0.24205667,-0.08418125,0.77242446,0.38776359,-0.03860717,0.77468383,0.40507689,0.01304151
A,Right,0.69301647,0.82388079,-0.00000223,0.46307194,0.77509731,-0.11545493,0.25812134,0.55477697,-0.14431536,0.17925742,0.32637018,-0.16602565,0.20589733,0.16123216,-0.15641248,0.36949110,0.31231821,0.02569946,0.34585047,0.20082189,-0.07694072,0.37814942,0.39440209,-0.11395451,0.39567629,0.42203629,-0.12952296,0.51393384,0.28023639,0.03830078,0.48231009,0.18827653,-0.07481536,0.49456653,0.42046288,-0.07817197,0.50713146,0.40178388,-0.05020070,0.66143358,0.28115183,0.01841448,0.63539857,0.21893756,-0.10104874,0.62510049,0.43066600,-0.04929282,0.63631517,0.41335613,0.01610372,0.81655085,0.29744005,-0.01451609,0.77361852,0.25857526,-0.06908152,0.74435914,0.40682945,-0.02860545,0.75450909,0.40842232,0.01659750
A,Right,0.69248211,0.80378193,-0.00000217,0.44754457,0.77503359,-0.09643492,0.24196745,0.55723733,-0.10849506,0.17258146,0.32514161,-0.11479904,0.20016468,0.16153045,-0.09077944,0.35256362,0.34082866,0.03602136,0.34115961,0.21287681,-0.07070801,0.37159204,0.39385423,-0.11002152,0.37590355,0.42973843,-0.12325557,0.50225794,0.30120504,0.04267002,0.48271137,0.18962602,-0.06454428,0.49643520,0.41634119,-0.06678908,0.50106436,0.39789262,-0.03735439,0.65040743,0.29612058,0.01875392,0.63604683,0.20992407,-0.09696250,0.63005733,0.41775343,-0.04103957,0.63893318,0.40654033,0.02841424,0.80988681,0.30537868,-0.01676922,0.78214043,0.24926805,-0.07383101,0.76145500,0.39499962,-0.02827287,0.76632977,0.40654778,0.02380229
A,Right,0.69135720,0.79695147,-0.00000191,0.45241687,0.78301811,-0.11315212,0.23987238,0.56867635,-0.13437334,0.16972679,0.33519915,-0.14236942,0.19272450,0.17486051,-0.11749415,0.34931302,0.35511532,-0.01357373,0.34307438,0.21119736,-0.11239693,0.37548313,0.39112145,-0.13509431,0.37676758,0.43320966,-0.13845332,0.50204241,0.31739813,0.00502797,0.48503399,0.19207814,-0.10242786,0.50334173,0.42064229,-0.09812453,0.50302982,0.41120562,-0.06473642,0.65844089,0.30788621,-0.00336232,0.63944679,0.20502068,-0.11709493,0.64029038,0.41380510,-0.05685316,0.64188355,0.41509780,0.01365673,0.81719875,0.31015393,-0.02330219,0.78766322,0.24456930,-0.08225977,0.77167863,0.38707253,-0.03868113,0.77281892,0.39941350,0.01082609
A,Right,0.66648090,0.77800572,-0.00000163,0.43836722,0.76467729,-0.12431976,0.23922351,0.55105376,-0.15346895,0.17059600,0.33358496,-0.16546607,0.18980408,0.18004647,-0.14713009,0.34172148,0.34963423,-0.04727000,0.34295738,0.21159594,-0.15491277,0.36773270,0.39086956,-0.18411836,0.36661398,0.44322330,-0.18966602,0.49502996,0.31770268,-0.02271299,0.48405835,0.19261190,-0.13668045,0.49705562,0.41659063,-0.13630977,0.49922788,0.41836613,-0.10655199,0.65532500,0.31120923,-0.02365035,0.64217341,0.20879331,-0.14162414,0.63689321,0.41724622,-0.08038377,0.63986880,0.42587516,-0.00948806,0.81375527,0.31679389,-0.03622435,0.79275244,0.24855095,-0.10111764,0.77180129,0.38704705,-0.05745973,0.77339530,0.40145937,-0.00741749
A,Right,0.65515488,0.77909875,-0.00000116,0.43303490,0.69555992,-0.10345974,0.26496953,0.56049740,-0.14365007,0.20604050,0.40139619,-0.17090400,0.22246665,0.28229931,-0.17250395,0.44351947,0.34425989,-0.05820970,0.35481417,0.22385095,-0.14703035,0.36311823,0.39358166,-0.18515041,0.40484861,0.43201593,-0.20579247,0.58578402,0.31986633,-0.03154660,0.49145377,0.20824681,-0.11356013,0.47757441,0.42948577,-0.12077258,0.52137315,0.43539384,-0.11758687,0.72378314,0.31186652,-0.02404073,0.62966669,0.20751552,-0.10430852,0.59408528,0.40962309,-0.08153670,0.63655430,0.43765882,-0.05776886,0.85884506,0.32278854,-0.02635968,0.76769114,0.25072458,-0.07966210,0.72952729,0.38727170,-0.06843101,0.75576389,0.42680249,-0.05164915
